,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
1379,Murillo,Monumento de la ciudad de Madrid,Pza Murillo ,68 - Espalter,Calle Espalter nº 1,1,95,1
1380,Muro con escudo,Monumento de la ciudad de Madrid,CALLE CEA BERMUDEZ 4,201 - Canal,Calle José Abascal frente al nº 2,4,273,3
1381,Muro de Berlín,Monumento de la ciudad de Madrid,PLAZA VIRGEN GUADALUPANA ,197 - Parque Berlín,"Avenida de Concha Espina nº 34,",10,375,4
1382,Musa Terpsícore,Monumento de la ciudad de Madrid,C General Millán Astray 15,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,3763,47
1383,Museo de los Toreros,Monumento de la ciudad de Madrid,C Alcalá 231,193 - Ventas,Avenida de los Toreros nº 49,3,245,3
1384,Muñoz Degraín,Monumento de la ciudad de Madrid,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,150,1
1385,Máquina de vapor,Monumento de la ciudad de Madrid, ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,7013,87
1386,Mártires San Fermín de los Navarros,Monumento de la ciudad de Madrid,PASEO EDUARDO DATO 10,198 - Rubén Darío,Glorieta Rubén Darío 2,1,119,1
1387,Mártires de la Sacramental de San Isidro,Monumento de la ciudad de Madrid,Pº Ermita del Santo 78,"351 - Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",5,746,9
1388,Mère Ubu,Monumento de la ciudad de Madrid,Pº Castellana 41,198 - Rubén Darío,Glorieta Rubén Darío 2,1,455,5
1389,Móvil,Monumento de la ciudad de Madrid,Pº Castellana 41,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,446,5
1390,Nacho Ugalde,Monumento de la ciudad de Madrid,PLAZA IGNACIO UGALDE 5,"505 - Calle Castillo de Ucles, 37","Calle Castillo de Ucles, 37,",3,1024,12
1391,Nebrija,Monumento de la ciudad de Madrid,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,97,1
1392,Neptuno,Monumento de la ciudad de Madrid,Pza Cánovas del Castillo ,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,208,2
1393,Newton y dolmen de Dalí,Monumento de la ciudad de Madrid,Pza Dalí ,98 - Plaza de Felipe II,Plaza de Felipe II,1,277,3
1394,Nicanor Barroso,Monumento de la ciudad de Madrid,C Encomienda de Palacios ,"457 - Hacienda de Pavones, 148","Hacienda de Pavones, 148,",15,414,5
1395,Nicolás Fernández de Moratín,Monumento de la ciudad de Madrid,C Huertas 69,27 - Huertas,Calle Jesús nº 1,4,22,0
1396,Niño con caracola,Monumento de la ciudad de Madrid,Pza Doctor Laguna 1,71 - Doce de Octubre,Calle Doce de Octubre nº 28,2,110,1
1397,Niños con jarrón de Cibeles,Monumento de la ciudad de Madrid,Pza Cibeles ,86 - Cibeles,Plaza Cibeles,2,50,0
1398,Niños con jarrón en Atocha,Monumento de la ciudad de Madrid,Pza Emperador Carlos V ,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,1,39,0
1399,Niños en el Colegio Público Marcelo Usera,Monumento de la ciudad de Madrid,C Perales de Tajuña 1,213 - Glorieta de Cádiz,Calle Antonio López nº 129,6,203,2
1400,Niños en el Colegio Rufino Blanco,Monumento de la ciudad de Madrid,CALLE GENERAL ALVAREZ DE CASTRO 46,201 - Canal,Calle José Abascal frente al nº 2,4,161,2
1401,Noria de la Fábrica de Porcelana,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,2,596,7
1402,Nubes Cromáticas,Monumento de la ciudad de Madrid, ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1614,20
1403,Nuestra Señora de Moratalaz,Monumento de la ciudad de Madrid,C Entre Arroyos 19,"458 - Calle del Arroyo Belincoso, 26","Calle del Arroyo Belincoso, 26,",4,265,3
1404,Nuestra Señora de los Desamparados,Monumento de la ciudad de Madrid,Pza Pinazo 9,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,2949,36
1405,Obelisco Laus Deo I,Monumento de la ciudad de Madrid,C Bustamante 2,120 - Palos de la Frontera,"Calle Palos de la Frontera nº 27,",1,288,3
1406,Obelisco Laus Deo II,Monumento de la ciudad de Madrid,Pza Ortega y Munilla ,162 - Metro Pirámides,"Paseo de los Olmos nº 28,",1,76,0
1407,Obelisco Pasillo Verde,Monumento de la ciudad de Madrid,C Santa María la Real de Nieva ,236 - Paseo Imperial,Paseo Imperial nº 20,4,262,3
1408,Obelisco de la Fuente Castellana,Monumento de la ciudad de Madrid, ,174 - Madrid Río-Yeserías,"Paseo de Yeserías nº 45,",7,282,3
1409,Obelisco de la Vicalvarada,Monumento de la ciudad de Madrid, ,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,1976,24
1410,Obelisco del 2 de Mayo y Caídos por España,Monumento de la ciudad de Madrid,Pza Lealtad ,86 - Cibeles,Plaza Cibeles,2,257,3
1411,Obeliscos octogonales Av Andalucía,Monumento de la ciudad de Madrid,Avda Andalucía ,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,1967,24
1412,Obeliscos-Pirámides,Monumento de la ciudad de Madrid,Gta Pirámides ,169 - Pirámides,Calle Toledo nº 181,2,100,1
1413,Ocho columnas en los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,125,1
1414,Octaedro-Aire,Monumento de la ciudad de Madrid,GLORIETA SANTA MARIA DE LA CABEZA 1,121 - Santa María de la Cabeza,"Paseo de Santa María de la Cabeza nº 58,",3,93,1
1415,Ola a Ritmo de Txalaparta,Monumento de la ciudad de Madrid,ESTACION DE METRO CHAMARTIN ,252 - Chamartín,Calle Rodríguez Jaén nº 40,1,194,2
1416,Olivo en bronce,Monumento de la ciudad de Madrid,Pza Dalí ,98 - Plaza de Felipe II,Plaza de Felipe II,1,184,2
1417,Orden cósmico,Monumento de la ciudad de Madrid,Trav Felipe de Diego s/n,"419 - Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",7,391,4
1418,Ordoño I,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,151,1
1419,Ordoño II,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,187,2
1420,Organización Mundial Turismo,Monumento de la ciudad de Madrid,CALLE GENERAL YAGÜE 1,238 - San Germán 5,Calle San Germán nº 5,2,157,1
1421,Organización de Profesionales y Autónomos O.P.A.,Monumento de la ciudad de Madrid,Pº Prado ,27 - Huertas,Calle Jesús nº 1,4,252,3
1422,Oso de Berlín,Monumento de la ciudad de Madrid,PARQUE BERLIN ,197 - Parque Berlín,"Avenida de Concha Espina nº 34,",10,240,3
1423,Oso y Madroño,Monumento de la ciudad de Madrid,C Barros 16,"417 - Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",17,673,8
1424,Oso y Madroño,Monumento de la ciudad de Madrid,C Carmen ,33 - Carretas,Calle Carretas nº 8,1,86,1
1425,Oso y Madroño,Monumento de la ciudad de Madrid,PLAZA PROSPERIDAD 1,196 - Prosperidad,"Calle Suero de Quiñones nº 3,",1,41,0
1426,Osos sentados de la Casa de Fieras,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,146,1
1427,Osos tumbados de la Casa de Fieras,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,79,0
1428,Pablo Iglesias,Monumento de la ciudad de Madrid,AVENIDA PABLO IGLESIAS 2,131 - Bravo Murillo 44,Calle Bravo Murillo nº 44,3,135,1
1429,Pablo Luna,Monumento de la ciudad de Madrid,CALLE SANDOVAL 6,4 - Malasaña,Calle Manuela Malasaña nº 5,1,200,2
1430,Pablo Montesino,Monumento de la ciudad de Madrid,C San Bernardo 70,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64,1,135,1
1431,Pablo Neruda,Monumento de la ciudad de Madrid,CALLE HILARION ESLAVA 2,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,3,184,2
1432,Pablo Picasso,Monumento de la ciudad de Madrid,PLAZA PABLO RUIZ PICASSO 1,150 - Castellana frente a Hermanos Pinzón,"Paseo de la Castellana nº 122,",5,208,2
1433,Pablo Ruíz Picasso,Monumento de la ciudad de Madrid,C San Pedro Mártir 5,43 - Jesús y María,Calle Lavapiés nº 34,2,222,2
1434,Pablo Sorozábal,Monumento de la ciudad de Madrid,CALLE PRINCIPE DE VERGARA 141,146 - María Francisca 1,"Calle María Francisca nº 3,",3,143,1
1435,Padre Damián,Monumento de la ciudad de Madrid,CALLE PADRE DAMIAN 2,159 - Paseo de la Habana 63,Paseo de la Habana nº 63,2,346,4
