,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
915,Fuente plaza de Chamberí,Monumento de la ciudad de Madrid,PLAZA CHAMBERI 1,124 - Manuel Silvela,Calle Manuel Silvela nº 20,1,289,3
916,Fuente plaza de Olavide,Monumento de la ciudad de Madrid,PLAZA OLAVIDE 1,124 - Manuel Silvela,Calle Manuel Silvela nº 20,1,241,3
917,Fuente plaza de Quito,Monumento de la ciudad de Madrid,PLAZA QUITO ,150 - Castellana frente a Hermanos Pinzón,"Paseo de la Castellana nº 122,",5,149,1
918,Fuente plaza Ágata,Monumento de la ciudad de Madrid,Pza Ágata ,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,2339,29
919,Fuente principal del parque de Moratalaz,Monumento de la ciudad de Madrid, ,219 - Marroquina,Calle Camino de los Vinateros nº 108,8,186,2
920,Fuente semicircular Pinos,Monumento de la ciudad de Madrid,PARQUE PINOS ,"458 - Calle del Arroyo Belincoso, 26","Calle del Arroyo Belincoso, 26,",4,257,3
921,Fuente tipo Alhambra,Monumento de la ciudad de Madrid,C Principal de Provincias ,"326 - Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",4,268,3
922,Fuente-estanque Paseo del Prado,Monumento de la ciudad de Madrid,Pº Prado 20,27 - Huertas,Calle Jesús nº 1,4,234,2
923,Fuente-pilón,Monumento de la ciudad de Madrid,CALLE ROSALEDA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,486,6
924,Fuentecilla del Leal,Monumento de la ciudad de Madrid,C Toledo ,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,3,237,2
925,Fuentecillas del Jardín Botánico,Monumento de la ciudad de Madrid,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,1,135,1
926,Fuentecillas del Prado,Monumento de la ciudad de Madrid,Pº Prado ,67 - Almadén,Calle Almadén nº 28,7,173,2
927,Fuentecita columna torsa. Jardín Príncipe de Anglona,Monumento de la ciudad de Madrid, ,35 - Plaza del Cordón,Plaza del Cordón,2,148,1
928,Fuentes Barrilete,Monumento de la ciudad de Madrid,AVENIDA BETANZOS 1,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,364,4
929,Fuentes Lavadero de los jardines de la Virgen del Puerto,Monumento de la ciudad de Madrid,Pº Ermita de la Virgen del Puerto ,167 - Segovia 45,Calle Segovia nº 45,22,565,7
930,Fuentes avenida de los Poblados-Rafaela Ybarra,Monumento de la ciudad de Madrid,Avda Poblados ,"386 - Avenida de los Poblados, 130","Avenida de los Poblados, 130,",3,115,1
931,Fuentes con surtidores en la Gran Vía de Villaverde,Monumento de la ciudad de Madrid,C Gran Vía de Villaverde ,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,2368,29
932,Fuentes de Caracol,Monumento de la ciudad de Madrid,Pq Cuña Verde ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,877,10
933,Fuentes de Embajadores,Monumento de la ciudad de Madrid,C Embajadores ,47 - Embajadores 1,Glorieta de Embajadores nº 6,3,14,0
934,Fuentes de la Alcachofa del Parterre,Monumento de la ciudad de Madrid,Pº Parterre ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,254,3
935,Fuentes de la Bellota,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,114,1
936,Fuentes de la Junta de la Arganzuela,Monumento de la ciudad de Madrid,Pº Chopera 10,165 - Entrada Matadero,"Paseo de la Chopera nº 53,",2,130,1
937,Fuentes de la Puerta del Sol,Monumento de la ciudad de Madrid,Pº Federico García Lorca ,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,544,6
938,Fuentes de la avenida Poblados,Monumento de la ciudad de Madrid,Avda Poblados ,"390 - Calle de la Avena, 10","Calle de la Avena, 10,",2,2069,25
939,Fuentes de la avenida de la Ilustración,Monumento de la ciudad de Madrid,AVENIDA ILUSTRACION ,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,1858,23
940,Fuentes de la plaza de Oriente,Monumento de la ciudad de Madrid,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,1,214,2
941,Fuentes del parque Vaguada,Monumento de la ciudad de Madrid,Avda Betanzos ,"571 - Calle Melchor Fernandez Almagro, 80","Calle Melchor Fernandez Almagro, 80,",6,399,4
942,Fuentes en la calle Hermanos García Noblejas,Monumento de la ciudad de Madrid,AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 128,"490 - Hermanos Garcia Noblejas, 158","Hermanos Garcia Noblejas, 158,",8,162,2
943,Fuentes en la calle Vía Lusitana,Monumento de la ciudad de Madrid,C Braganza ,"355 - Calle de la Via, 52","Calle de la Via,",6,342,4
944,Fuentes en la glorieta Ruíz Giménez y monolito primera Fuente Canal Y II,Monumento de la ciudad de Madrid,CALLE JOAQUIN RUIZ-GIMENEZ CORTES ,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,566,7
945,Fuentes en la plaza de Ciudad Lineal,Monumento de la ciudad de Madrid,C Alcalá 416,"477 - Misterios, 1","Misterios,1,",2,128,1
946,Fuentes en la vía Lusitana,Monumento de la ciudad de Madrid,C Faro ,"355 - Calle de la Via, 52","Calle de la Via,",6,991,12
947,Fuentes en la vía Lusitana,Monumento de la ciudad de Madrid,C Juan Ramón Carrero ,"355 - Calle de la Via, 52","Calle de la Via,",6,1365,17
948,Fuentes estrelladas del Jardín Botánico,Monumento de la ciudad de Madrid,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,1,196,2
949,Fuentes gemelas López de Hoyos,Monumento de la ciudad de Madrid,CALLE LOPEZ DE HOYOS 27,140 - Velázquez 130,"Calle Velázquez nº 130,",5,240,3
950,Fuentes gemelas de la Puerta del Sol,Monumento de la ciudad de Madrid,Pza Sol ,33 - Carretas,Calle Carretas nº 8,1,94,1
951,Fuentes gemelas de la Quinta de los Molinos,Monumento de la ciudad de Madrid,CALLE ALCALA 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,44,0
952,Fuentes gemelas de la glorieta Boccherini,Monumento de la ciudad de Madrid,GLORIETA BOCCHERINI ,167 - Segovia 45,Calle Segovia nº 45,22,218,2
953,Fuentes gemelas de los jardines de Sabatini,Monumento de la ciudad de Madrid, ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,398,4
954,Fuentes gemelas de los jardines del Campo del Moro,Monumento de la ciudad de Madrid, ,167 - Segovia 45,Calle Segovia nº 45,22,463,5
955,Fuentes gemelas del jardín de la Quinta del duque de Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,12287,153
956,Fuentes gemelas del palacio nuevo del duque de Riansares,Monumento de la ciudad de Madrid,C Arnedo 22,350 - Calle de Ervigio,"Calle de Ervigio,",17,1619,20
957,Fuentes gemelas del palacio viejo de la reina Cristina,Monumento de la ciudad de Madrid,CALLE GENERAL RICARDOS 179,350 - Calle de Ervigio,"Calle de Ervigio,",17,1204,15
958,Fuentes gemelas del parque Fuente del Berro,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,256,3
959,Fuentes menores de Arganzuela,Monumento de la ciudad de Madrid,PASEO YESERIAS 1,169 - Pirámides,Calle Toledo nº 181,2,165,2
960,Fuentes neoclásicas en el Paseo del Prado,Monumento de la ciudad de Madrid,Pº Prado 4,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,205,2
961,Fuentes piramidales,Monumento de la ciudad de Madrid, ,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21,4,133,1
962,Fuentes playa Arganzuela,Monumento de la ciudad de Madrid,Pº Yeserías ,174 - Madrid Río-Yeserías,"Paseo de Yeserías nº 45,",7,249,3
963,Fuentes rectangulares de la Gran Vía de Villaverde,Monumento de la ciudad de Madrid,C Gran Vía de Villaverde ,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,2318,28
964,Fundación de la Sociedad General Autores de España (SGAE),Monumento de la ciudad de Madrid,Ctra Fernanflor 10,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,56,0
965,Fusilamiento de Ocho Carmelitas,Monumento de la ciudad de Madrid,C Monseñor Óscar Romero ,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,2544,31
966,Fusilamientos Montaña Príncipe Pío,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,592,7
967,Félix Lope de Vega Carpio,Monumento de la ciudad de Madrid,C Huertas 49,27 - Huertas,Calle Jesús nº 1,4,143,1
968,Félix Lope de Vega Carpio,Monumento de la ciudad de Madrid,Pza Encarnación ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,208,2
970,Félix Rodríguez de la Fuente,Monumento de la ciudad de Madrid,PARQUE FELIX RODRIGUEZ DE LA FUENTE ,"476 - Avenida Ramon y Cajal, 101","Avenida Ramon y Cajal, 101,",20,282,3
969,Félix Rodríguez de la Fuente,Monumento de la ciudad de Madrid,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1645,20
971,Galería de grutas del jardín de Felipe II,Monumento de la ciudad de Madrid,Pº Embarcadero ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,362,4
972,Galería mirador,Monumento de la ciudad de Madrid,Pza Gabriel Miró ,167 - Segovia 45,Calle Segovia nº 45,22,230,2
973,Galicia en Madrid,Monumento de la ciudad de Madrid,Pza Jacinto Benavente ,34 - Jacinto Benavente,Plaza de Jacinto Benavente,1,27,0
974,Gallia,Monumento de la ciudad de Madrid,C Guzmán el Bueno 133,203 - San Francisco de Sales,Calle General Ampudia nº 2,1,229,2
975,Gaspar Melchor de Jovellanos,Monumento de la ciudad de Madrid,C Juanelo 18,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,3,300,3
976,Gaspar Núñez de Arce,Monumento de la ciudad de Madrid,C Cruzada 4,36 - Plaza Ramales,Plaza de Ramales,1,35,0
977,Gaviota,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1,104 - Castellana,Paseo de la Castellana nº 4,1,160,2
978,General Bernardo O´Higgins,Monumento de la ciudad de Madrid,Pza Chile ,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,699,8
979,General Francisco Morazán,Monumento de la ciudad de Madrid,Pza Honduras ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,596,7
980,General Ibáñez de Ibero,Monumento de la ciudad de Madrid,C Jorge Juan 8,95 - Villanueva,Calle Claudio Coello nº 109,1,132,1
981,General Manuel Cassola,Monumento de la ciudad de Madrid,Pº Moret ,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,3,421,5
982,General Martín Miguel de Güemes,Monumento de la ciudad de Madrid,PLAZA CIUDAD DE SALTA 1,"476 - Avenida Ramon y Cajal, 101","Avenida Ramon y Cajal, 101,",20,136,1
983,General Martínez Campos,Monumento de la ciudad de Madrid,Pza Guatemala ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,409,5
984,General Vara de Rey y Héroes del Caney,Monumento de la ciudad de Madrid,Avda Ciudad de Barcelona 4,119 - Méndez Álvaro,Calle Méndez Álvaro nº 11,2,526,6
985,Geometría Natural,Monumento de la ciudad de Madrid,C Sierra de Molina ,"418 - Calle Puerto de Arlaban, 83","Calle Puerto de Arlaban, 83,",8,319,3
986,Gerardo Diego,Monumento de la ciudad de Madrid,C Pío Baroja 4,83 - Pío Baroja,Calle Pío Baroja nº 10,5,81,1
987,Germania,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133,203 - San Francisco de Sales,Calle General Ampudia nº 2,1,242,3
988,Gloria Fuertes,Monumento de la ciudad de Madrid,PLAZA PERU 1,160 - Colombia,Calle Colombia nº 7,2,329,4
989,Gonzalo Ceballos,Monumento de la ciudad de Madrid,Pza Cordón 2,35 - Plaza del Cordón,Plaza del Cordón,2,21,0
990,Goya,Monumento de la ciudad de Madrid,C Felipe IV ,68 - Espalter,Calle Espalter nº 1,1,281,3
991,Goya,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,587,7
992,Gregorio Marañón,Monumento de la ciudad de Madrid,PASEO CASTELLANA 53,135 - Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,1,394,4
993,Gregorio Marañón,Monumento de la ciudad de Madrid,Pza Ramón y Cajal ,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,228,2
994,Gregorio Ordóñez,Monumento de la ciudad de Madrid,CALLE PRINCIPE DE VERGARA 142,146 - María Francisca 1,"Calle María Francisca nº 3,",3,112,1
995,Grupo escultórico C. Especialidades V. Soldevilla I,Monumento de la ciudad de Madrid,C Sierra de Alquife 8,"418 - Calle Puerto de Arlaban, 83","Calle Puerto de Arlaban, 83,",8,279,3
996,Grupo escultórico C. Especialidades V. Soldevilla II,Monumento de la ciudad de Madrid,CALLE SIERRA DE ALQUIFE 8,"418 - Calle Puerto de Arlaban, 83","Calle Puerto de Arlaban, 83,",8,289,3
997,Grupo escultórico a la Universidad en Cantoblanco,Monumento de la ciudad de Madrid, ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,6990,87
998,Grupo escultórico mujer y tortuga,Monumento de la ciudad de Madrid,Pº Alberto Palacios 1,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,2391,29
999,Gruta de la Fuente de las Ranas,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,355,4
1000,Gruta del Laberinto,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,301,3
1001,Guillermo Fernández Shaw,Monumento de la ciudad de Madrid,C Claudio Coello 60,105 - Serrano,Calle Serrano nº 54,2,210,2
1002,Gundemaro,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,139,1
1003,Gustavo Adolfo Bécquer,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,172,2
1004,Gustavo Adolfo Bécquer,Monumento de la ciudad de Madrid,CALLE HUERTAS 20,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,105,1
1005,Gómez de la Serna Ramon,Monumento de la ciudad de Madrid,C Guillermo Rolland 7,24 - Palacio de Oriente,Calle Carlos III nº 1,1,292,3
1006,Haciendo futuro,Monumento de la ciudad de Madrid,CALLE PRINCIPE DE VERGARA 156,147 - Doctor Arce 45,"Avenida del Doctor Arce nº 45,",7,207,2
1007,Hermanos Falcó y Álvarez de Toledo,Monumento de la ciudad de Madrid,PLAZA MAYOR DE BARAJAS 1,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,3060,38
1008,Hernán Cortés,Monumento de la ciudad de Madrid,Avda Séneca 4,112 - Paseo de Moret,Paseo de Moret nº 11,2,467,5
1009,Herón,Monumento de la ciudad de Madrid,PLAZA COLON 2,104 - Castellana,Paseo de la Castellana nº 4,1,192,2
1010,Hexaedro o cubo-Tierra,Monumento de la ciudad de Madrid, ,236 - Paseo Imperial,Paseo Imperial nº 20,4,370,4
1011,Hiberia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133,203 - San Francisco de Sales,Calle General Ampudia nº 2,1,242,3
1012,Hilarión Eslava y Emilio Arrieta,Monumento de la ciudad de Madrid,C San Quintín 8,24 - Palacio de Oriente,Calle Carlos III nº 1,1,281,3
1013,Hipólito Yrigoyen,Monumento de la ciudad de Madrid,Gta 12 de octubre de 1492 ,102 - Velázquez,Calle Alcalá nº 95,1,428,5
1014,Hispanidad,Monumento de la ciudad de Madrid,AVENIDA VICTORIA 2,261 - Facultad Derecho,Avenida Complutense nº 23,2,9821,122
1015,Hogar Ferroviario-Trenes,Monumento de la ciudad de Madrid,C Manuel María Arrillaga s/n,218 - Camino Vinateros,Calle Camino de los Vinateros nº 28,5,470,5
1016,Hombre Sentado,Monumento de la ciudad de Madrid,Pza Paja ,38 - Plaza de los Carros,"Carrera de San Francisco nº 1,",1,150,1
1017,Hombre con niño,Monumento de la ciudad de Madrid,C Antonio López ,228 - San Delfín,Calle San Delfín nº 9,7,20,0
1018,Hombres y Proporciones,Monumento de la ciudad de Madrid,PASAJE MAESTROS LADRILLEROS 1,207 - Remonta,"Calle Azucenas nº 1,",6,217,2
1019,Homenaje a García Lorca - Arco en el pentágono,Monumento de la ciudad de Madrid,C Puerto del Milagro ,"420 - Calle de Candilejas, 5","Calle de Candilejas, 5,",1,580,7
1020,Homenaje a Goya - La Maja desnuda,Monumento de la ciudad de Madrid,Trav Felipe de Diego 19,"417 - Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",17,297,3
1021,Homenaje a Lissitzky,Monumento de la ciudad de Madrid,Pº Pirala ,188 - Puente de Ventas,Avenida de Daroca nº 2,3,85,1
1022,Homenaje a Miró,Monumento de la ciudad de Madrid, ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,1433,17
1023,Homenaje a Pío Baroja,Monumento de la ciudad de Madrid,Avda Andalucía ,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,950,11
1024,Homenaje a la Mar,Monumento de la ciudad de Madrid,Pº Venezuela ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,548,6
1025,Homenaje a la Música,Monumento de la ciudad de Madrid,PLAZA ANDRES SEGOVIA 1,146 - María Francisca 1,"Calle María Francisca nº 3,",3,137,1
1026,Homenaje victimas del 11-M,Monumento de la ciudad de Madrid,Avda Complutense ,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,67,0
1027,Humanistas Españoles,Monumento de la ciudad de Madrid,C Villa 2,35 - Plaza del Cordón,Plaza del Cordón,2,265,3
1028,Humilladero de la ermita del Santo Cristo de la Guía,Monumento de la ciudad de Madrid,CALLE CASALARREINA 26,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,1612,20
1029,Hypnos,Monumento de la ciudad de Madrid,C Las Marismas 41,"425 - Calle Ramon Perez de Ayala, 45","Calle Ramon Perez de Ayala, 45,",6,222,2
1030,Hércules y el León de Nemea,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,308,3
1031,Hércules y la Hidra de Lerna,Monumento de la ciudad de Madrid,Pº Duque de Fernán Núñez ,74 - Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",14,285,3
1032,Héroes Populares del Dos de Mayo,Monumento de la ciudad de Madrid,Pza Puerta del Sol 8,33 - Carretas,Calle Carretas nº 8,1,74,0
1033,Héroes de la Independencia de 1808,Monumento de la ciudad de Madrid,C Isla de Java ,217 - Pedro Rico,Calle Pedro Rico nº 4,2,1258,15
1034,Héroes del Dos de Mayo,Monumento de la ciudad de Madrid,C Bailén ,36 - Plaza Ramales,Plaza de Ramales,1,273,3
1035,Héroes del Plus Ultra,Monumento de la ciudad de Madrid,C Princesa 92,111a - Arcipreste de Hita A,Calle Arcipreste de Hita nº 12,3,126,1
1036,Héroes del Siete de Julio,Monumento de la ciudad de Madrid,C Mayor 24,31 - Calle Mayor,Calle Mayor nº 20,2,133,1
1037,Hórreo del pabellón de Pontevedra,Monumento de la ciudad de Madrid,C Ganadería ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,312,3
1038,Icosaedro-Agua,Monumento de la ciudad de Madrid,Pº Doctor Vallejo Nájera ,170 - Paseo de la Esperanza,Paseo de la Esperanza nº 21,4,57,0
1039,Iglesia Ntra. Sra. Buena Dicha,Monumento de la ciudad de Madrid,C Silva 21,2 - Miguel Moya,Calle Miguel Moya nº 1,3,116,1
1040,Iglesia Nuestra Señora Buena Dicha. Lápida conmemorativa,Monumento de la ciudad de Madrid,C Silva 21,2 - Miguel Moya,Calle Miguel Moya nº 1,3,118,1
1041,Iglesia Sagrados Corazones,Monumento de la ciudad de Madrid,PLAZA SAGRADOS CORAZONES 1,149 - Paseo de la Habana 42,"Paseo de la Habana nº 42,",10,252,3
1042,Iglesia San Cayetano,Monumento de la ciudad de Madrid,C Embajadores 15,43 - Jesús y María,Calle Lavapiés nº 34,2,378,4
1043,Iglesia San Ginés,Monumento de la ciudad de Madrid,CALLE ARENAL 13,25b - Plaza de Celenque B,Plaza de Celenque nº 1,1,71,0
1044,Iglesia San Salvador,Monumento de la ciudad de Madrid,C Mayor 70,9 - Plaza de San Miguel,Plaza de San Miguel nº 9,2,89,1
1045,Iglesia Santa María la Real de la Almudena,Monumento de la ciudad de Madrid,C Mayor 88,36 - Plaza Ramales,Plaza de Ramales,1,226,2
1046,Iglesia de Montserrat,Monumento de la ciudad de Madrid,C San Bernardo 79,12 - San Hermenegildo,"Calle San Bernardo nº 85,",1,94,1
1047,Iglesia de San Juan Evangelista,Monumento de la ciudad de Madrid,Pza Venecia 1,242 - Avenida Bruselas,Avenida Bruselas nº 56,3,295,3
1048,Iglesia parroquial de San Juan,Monumento de la ciudad de Madrid,Pza Ramales 1,36 - Plaza Ramales,Plaza de Ramales,1,36,0
1049,Iglesia parroquial de Santiago,Monumento de la ciudad de Madrid,C Santiago 4,36 - Plaza Ramales,Plaza de Ramales,1,101,1
1050,Ignacio Zuloaga,Monumento de la ciudad de Madrid,Pza Gabriel Miró ,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,3,243,3
1051,Ignacio de Valentín-Gamazo,Monumento de la ciudad de Madrid,CALLE LUCHANA 1,5 - Fuencarral,"Calle Fuencarral nº 108,",4,116,1
1052,Ilusión truncada Monumento víctimas 11-M,Monumento de la ciudad de Madrid,Avda Santa Eugenia ,"438 - Calle Enrique Garcia Alvarez, 5","Calle Enrique Garcia Alvarez, 5,",4,939,11
1053,Imax,Monumento de la ciudad de Madrid,C Meneses ,"269 - Calle Ariel, 7","Calle Ariel, 7,",3,272,3
1054,Imprenta,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 6,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,399,4
1055,Imprenta Juan de la Cuesta,Monumento de la ciudad de Madrid,C Atocha 87,42 - Santa Isabel,"Calle Atocha nº 95,",2,144,1
1056,Imprenta Juan de la Cuesta,Monumento de la ciudad de Madrid,C San Eugenio 7,42 - Santa Isabel,"Calle Atocha nº 95,",2,50,0
1057,Inauguración Colegio Mayor Iberoamericano Nuestra Señora de Guadalupe,Monumento de la ciudad de Madrid,Avda Séneca 6,112 - Paseo de Moret,Paseo de Moret nº 11,2,489,6
1058,Inauguración Parque Cuarto Depósito CYII,Monumento de la ciudad de Madrid,CARRETERA CASTILLA 12,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,1414,17
1059,Inauguración Parque Cuarto Depósito CYII,Monumento de la ciudad de Madrid,Ctra Castilla 9,209 - Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",7,189,2
1060,Inauguración del Banco España,Monumento de la ciudad de Madrid,Pº Prado 2,86 - Cibeles,Plaza Cibeles,2,69,0
1061,Indalecio Prieto,Monumento de la ciudad de Madrid,PASEO CASTELLANA 63,135 - Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,1,130,1
1062,Indalecio Prieto Tuero,Monumento de la ciudad de Madrid,PLAZA SAN JUAN DE LA CRUZ 1,135 - Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,1,76,0
1063,Infanta Doña Isabel de Borbón,Monumento de la ciudad de Madrid,Pº Pintor Rosales ,115 - Ferraz,"Calle Evaristo San Miguel nº 2,",8,367,4
1064,Inmaculada,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,608,7
1065,Instituto Científico Weizmann,Monumento de la ciudad de Madrid,CALLE SERRANO 117,250 - Serrano 113,Calle Serrano nº 113B,1,214,2
1066,Instituto Industrial Isabel II,Monumento de la ciudad de Madrid,C Doctor Cortezo 4,34 - Jacinto Benavente,Plaza de Jacinto Benavente,1,91,1
1067,Instituto Nacional de Educación Física,Monumento de la ciudad de Madrid,C Martín Fierro ,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,339,4
1068,Iris,Monumento de la ciudad de Madrid,Pº Castellana ,104 - Castellana,Paseo de la Castellana nº 4,1,77,0
1069,Isabel la Católica,Monumento de la ciudad de Madrid, ,116a - Plaza de España A,Calle Princesa nº 5,3,422,5
1070,Isabel la Católica,Monumento de la ciudad de Madrid,Avda Reyes Católicos ,244 - Hospital Clínico,Calle Isaac Peral nº 44,3,379,4
1071,Isabel la Católica,Monumento de la ciudad de Madrid,PASEO CASTELLANA 1,104 - Castellana,Paseo de la Castellana nº 4,1,160,2
1072,Ivo Andric,Monumento de la ciudad de Madrid,C Velázquez 27,90 - General Pardiñas,"Calle Goya nº 18,",2,86,1
1073,J. Marciano Barbero Matos,Monumento de la ciudad de Madrid,PLAZA COLEGIO ATENEO POLITECNICO ,196 - Prosperidad,"Calle Suero de Quiñones nº 3,",1,207,2
1074,Jacinto Alcántara,Monumento de la ciudad de Madrid, ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,603,7
1075,Jacinto Benavente,Monumento de la ciudad de Madrid,CALLE ATOCHA 26,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,176,2
1076,Jacinto Benavente,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
1077,Jacinto Verdaguer,Monumento de la ciudad de Madrid,GLORIETA SARDANA ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,486,6
1078,Jaime Balmes,Monumento de la ciudad de Madrid,C Leganitos 5,23 - Santo Domingo,Plaza de Santo Domingo nº 1,1,177,2
1079,Jaime I El Conquistador,Monumento de la ciudad de Madrid, ,116a - Plaza de España A,Calle Princesa nº 5,3,413,5
1080,"Jaime I El Conquistador, Rey de Aragón",Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara ,112 - Paseo de Moret,Paseo de Moret nº 11,2,378,4
1081,Jardines Manuel González Carmona,Monumento de la ciudad de Madrid,C Villafuerte ,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,1650,20
1082,Jardines del Maestro Padilla,Monumento de la ciudad de Madrid, ,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,1,434,5
1083,Jarrones Franceses del Parterre,Monumento de la ciudad de Madrid,Pº Parterre ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,224,2
1084,Jarrones Franceses nuevos del Parterre,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
1085,Jarrones de la Fuente de los Patos,Monumento de la ciudad de Madrid,Pº Prado ,86 - Cibeles,Plaza Cibeles,2,64,0
1086,Jarrones de la Rosaleda,Monumento de la ciudad de Madrid,C Rosaleda ,115 - Ferraz,"Calle Evaristo San Miguel nº 2,",8,455,5
1087,Jarrones de la Rosaleda del Retiro,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
